Author,Title,Year,DOI,Link,Type,Venue,Abstract,Source
"Lubrano, Francesco and Vercellino, Chiara and Vitali, Giacomo and Viviani, Paolo and Scionti, Alberto and Terzo, Olivier",Advanced Resource Allocation in the Context of Heterogeneous Workflows Management,2024,10.1145/3642978.3652835,https://doi.org/10.1145/3642978.3652835,Conference paper,WiDE '24: Proceedings of the 2nd Workshop on Workflows in Distributed Environments,"In High-Performance Computing (HPC), workflows are utilized to define and manage a set of interdependent computations which allow the users to extract insights from (scientific) numerical simulations or data analytics. HPC platforms can perform extreme-scale simulations, combining Artificial Intelligence (AI) training and inference and data analytics (we refer to heterogeneous workflows), by providing tools and computing resources which serve a variety of use-cases spanning very diverse application domains (e.g., weather forecasting, quantum mechanics, etc.). Executing such workflows at scale requires to handle dependencies, job submission automation, I/O mechanisms. Despite State-of-the-Art batch schedulers can be configured and integrated with tools accomplishing this automation, a number of cases where resource allocation can lead to inefficiencies still exist. In this paper, to overcome these limitations, we present the WARP (Workflow-aware Advanced Resource Planner), a tool that integrates with workflow management tools and batch schedulers, to reserve in advance resources for an optimal execution of jobs, based on their duration, dependencies and machine load. WARP has been designed to minimize the overall workflow execution, without violating the priority policies for cluster users imposed by the system administrators.",ACM
"Granucci, Nicole and Jaiswal, Chetan",Beyond the Pixels: An Interdisciplinary Approach to Image Analysis in Astronomy --- Poster Abstract,2024,10.5555/3665609.3665640,https://dl.acm.org/doi/10.5555/3665609.3665640,Journal,J. Comput. Sci. Coll.,"Interdisciplinary collaboration between computer science and astronomy is critical for new discoveries as it brings together the expertise of two distinct yet complementary fields. The vast and complex datasets generated by astronomical observations require sophisticated computational methods for analysis and interpretation. Computer scientists contribute their skills in algorithm development, data processing, and artificial intelligence whereas astronomers provide unique challenges and insights that push the boundaries of computer science applications. This collaboration offers a multifaceted learning experience for students beyond disciplinary boundaries. This approach encourages a diverse skill set development, promotes creativity, critical thinking, and adaptability. It provides students with real-world applications for their theoretical knowledge, preparing them for careers that demand cross-disciplinary collaboration. It also instills a collaborative mindset that is increasingly essential in today's interconnected scientific landscape. Our intent is to develop a baseline model and then involve students during the summer research experience program. We also foresee developing a Computer Science-Physics cross listed undergraduate course for enriching student experience who are interested in these two disciplines. In this study, we will present our work in progress towards developing open-source software for astronomy image study and analysis. The flexibility of open-source development combined with a culture of innovation, leads to rapid improvements and the introduction of cutting-edge features. This software would provide a transparent mode for non-programmer users to not only view, stack, and overlay the raw image capture(s) but also do basic photometry and image statistics. The work in progress also involves the study of unsupervised learning to perform clustering analysis of the raw image capture(s). This analysis would group pixels or regions with similar characteristics, uncovering structures such as globular clusters, galaxies, or binary star systems. This process helps discern spatial relationships, identify outliers, and distinguish different celestial objects based on their inherent properties, such as brightness and shape. We are testing our open-source software with image data from a college telescope from Southern Connecticut State University. The telescope is a Spica Eyes Dobsonian reflecting telescope with an aperture size of 0.6m and focal ratio f/3.3. Transfer optics were added to increased our spatial resolution from 1.4 arcsec per pixel to 0.8 arcsec per pixel measurement. The transfer optics used a filter 竹0 = 537nm that optimized quantum efficiency in the V-band. These images were taken July 2018 at Southern Connecticut State University (SCSU) in New Haven, CT where there is high artificial brightness and Bortle scale of 8. These images were taken in poor seeing conditions since the humidity was high due to the typical nature of costal Connecticut in the summer. Furthermore, tracking was not stable leading to target drift across the image plane. Figure 1(a) shows images from this observation session which include 8 frames of 0.05s exposure time with a readout speed of 2MHz of Jupiter. This shows how tracking and poor alignment can lead to images that are not resolved to show the details of Jupiter as seen in Figure 1(b). Stacking is necessary to improve the signal to noise ratio of the images as well as smooth out details. Without sufficient stacking, it will be difficult to distinguish details of the images.",ACM
"Muqeet, Asmar and Ali, Shaukat and Arcaini, Paolo",Quantum Program Testing Through Commuting Pauli Strings on IBM's Quantum Computers,2024,10.1145/3691620.3695275,https://doi.org/10.1145/3691620.3695275,Conference paper,ASE '24: Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"The most promising applications of quantum computing are centered around solving search and optimization tasks, particularly in fields such as physics simulations, quantum chemistry, and finance. However, the current quantum software testing methods face practical limitations when applied in industrial contexts: (i) they do not apply to quantum programs most relevant to the industry, (ii) they require a full program specification, which is usually not available for these programs, and (iii) they are incompatible with error mitigation methods currently adopted by main industry actors like IBM. To address these challenges, we present QOPS, a novel quantum software testing approach. QOPS introduces a new definition of test cases based on Pauli strings to improve compatibility with different quantum programs. QOPS also introduces a new test oracle that can be directly integrated with industrial APIs such as IBM's Estimator API and can utilize error mitigation methods for testing on real noisy quantum computers. We also leverage the commuting property of Pauli strings to relax the requirement of having complete program specifications, making QOPS practical for testing complex quantum programs in industrial settings. We empirically evaluate QOPS on 194,982 real quantum programs, demonstrating effective performance in test assessment compared to the state-of-the-art with a perfect F1-score, precision, and recall. Furthermore, we validate the industrial applicability of QOPS by assessing its performance on IBM's three real quantum computers, incorporating both industrial and open-source error mitigation methods.",ACM
"Vallero, Marzio and Casagranda, Gioele and Vella, Flavio and Rech, Paolo",On the Efficacy of Surface Codes in Compensating for Radiation Events in Superconducting Devices,2024,10.1109/SC41406.2024.00075,https://doi.org/10.1109/SC41406.2024.00075,Conference paper,"SC '24: Proceedings of the International Conference for High Performance Computing, Networking, Storage, and Analysis","Reliability is fundamental for developing large-scale quantum computers. Since the benefit of technological advancements to the qubit's stability is saturating, algorithmic solutions, such as quantum error correction (QEC) codes, are needed to bridge the gap to reliable computation. Unfortunately, the deployment of the first quantum computers has identified faults induced by natural radiation as an additional threat to qubits reliability. The high sensitivity of qubits to radiation hinders the large-scale adoption of quantum computers, since the persistence and area-of-effect of the fault can potentially undermine the efficacy of the most advanced QEC.In this paper, we investigate the resilience of various implementations of state-of-the-art QEC codes to radiation-induced faults. We report data from over 400 million fault injections and correlate hardware faults with the logical error observed after decoding the code output, extrapolating physical-to-logical error rates. We compare the code's radiation-induced logical error rate over the code distance, the number and role in the QEC of physical qubits, the underlying quantum computer topology, and particle energy spread in the chip. We show that, by simply selecting and tuning properly the surface code, thus without introducing any overhead, the probability of correcting a radiation-induced fault is increased by up to 10%. Finally, we provide indications and guidelines for the design of future QEC codes to further increase their effectiveness against radiation-induced events.",ACM
"Jiang, Hanru",Qubit Recycling Revisited,2024,10.1145/3656428,https://doi.org/10.1145/3656428,Journal,Proc. ACM Program. Lang.,"Reducing the width of quantum circuits is crucial due to limited number of qubits in quantum devices. This paper revisit an optimization strategy known as qubit recycling (alternatively wire-recycling or measurement-and-reset), which leverages gate commutativity to reuse discarded qubits, thereby reducing circuit width. We introduce qubit dependency graphs (QDGs) as a key abstraction for this optimization. With QDG, we isolate the computationally demanding components, and observe that qubit recycling is essentially a matrix triangularization problem. Based on QDG and this observation, we study qubit recycling with a focus on complexity, algorithmic, and verification aspects. Firstly, we establish qubit recycling＊s NP-hardness through reduction from Wilf＊s question, another matrix triangularization problem. Secondly, we propose a QDG-guided solver featuring multiple heuristic options for effective qubit recycling. Benchmark tests conducted on RevLib illustrate our solver＊s superior or comparable performance to existing alternatives. Notably, it achieves optimal solutions for the majority of circuits. Finally, we develop a certified qubit recycler that integrates verification and validation techniques, with its correctness proof mechanized in Coq.",ACM
"Tan, Siwei and Xiang, Debin and Lu, Liqiang and Lu, Junlin and Jiang, Qiuping and Chen, Mingshuai and Yin, Jianwei",MorphQPV: Exploiting Isomorphism in Quantum Programs to Facilitate Confident Verification,2024,10.1145/3620666.3651360,https://doi.org/10.1145/3620666.3651360,Conference paper,"ASPLOS '24: Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3","Unlike classical computing, quantum program verification (QPV) is much more challenging due to the non-duplicability of quantum states that collapse after measurement. Prior approaches rely on deductive verification that shows poor scalability. Or they require exhaustive assertions that cannot ensure the program is correct for all inputs. In this paper, we propose MorphQPV, a confident assertion-based verification methodology. Our key insight is to leverage the isomorphism in quantum programs, which implies a structure-preserve relation between the program runtime states. In the assertion statement, we define a tracepoint pragma to label the verified quantum state and an assume-guarantee primitive to specify the expected relation between states. Then, we characterize the ground-truth relation between states using an isomorphism-based approximation, which can effectively obtain the program states under various inputs while avoiding repeated executions. Finally, the verification is formulated as a constraint optimization problem with a confidence estimation model to enable rigorous analysis. Experiments suggest that MorphQPV reduces the number of program executions by 107.9\texttimes{} when verifying the 27-qubit quantum lock algorithm and improves the probability of success by 3.3\texttimes{}-9.9\texttimes{} when debugging five benchmarks.",ACM
"Gemeinhardt, Felix and Garmendia, Antonio and Wimmer, Manuel and Wille, Robert",A Model-Driven Framework for Composition-Based Quantum Circuit Design,2024,10.1145/3688856,https://doi.org/10.1145/3688856,Journal,ACM Transactions on Quantum Computing,"Quantum programming languages support the design of quantum applications. However, to create such programs, one needs to understand the fundamental characteristics of quantum computing and quantum information theory. Furthermore, quantum algorithms frequently make use of abstract operations with a hidden low-level realization (e.g., Quantum Fourier Transform). Thus, turning from elementary quantum operations to a higher-level view of quantum circuit design not only reduces the development effort but also lowers the entry barriers for non-quantum computing experts.To this end, this article proposes a modeling language and design framework for quantum circuits. This allows the definition of composite operators to advocate a higher-level quantum algorithm design, together with automated code generation for the circuit execution. To demonstrate the benefits of the proposed approach, coined Composition-based Quantum Circuit Designer, we applied it for realizing the Quantum Counting algorithm and the Quantum Approximate Optimization Algorithm. Our evaluation results show that, compared to an existing state-of-the-art editor, the proposed approach allows for the realization of both quantum algorithms on a high level with a substantially reduced development effort. In particular, the proposed approach shows constant scaling when increasing the size of the investigated quantum circuits and a lower change criticality when evolving existing quantum circuits.",ACM
"Hao, Tianyi and Liu, Kun and Tannu, Swamit",Enabling High Performance Debugging for Variational Quantum Algorithms using Compressed Sensing,2023,10.1145/3579371.3589044,https://doi.org/10.1145/3579371.3589044,Conference paper,ISCA '23: Proceedings of the 50th Annual International Symposium on Computer Architecture,"Variational quantum algorithms (VQAs) can potentially solve practical problems using contemporary Noisy Intermediate Scale Quantum (NISQ) computers. VQAs find near-optimal solutions in the presence of qubit errors by classically optimizing a loss function computed by parameterized quantum circuits. However, developing and testing VQAs is challenging due to the limited availability of quantum hardware, their high error rates, and the significant overhead of classical simulations. Furthermore, VQA researchers must pick the right initialization for circuit parameters, utilize suitable classical optimizer configurations, and deploy appropriate error mitigation methods. Unfortunately, these tasks are done in an ad-hoc manner today, as there are no software tools to configure and tune the VQA hyperparameters.In this paper, we present OSCAR (cOmpressed Sensing based Cost lAndscape Reconstruction) to help configure: 1) correct initialization, 2) noise mitigation techniques, and 3) classical optimizers to maximize the quality of the solution on NISQ hardware. OSCAR enables efficient debugging and performance tuning by providing users with the loss function landscape without running thousands of quantum circuits as required by the grid search. Using OSCAR, we can accurately reconstruct the complete cost landscape with up to 100X speedup. Furthermore, OSCAR can compute an optimizer function query in an instant by interpolating a computed landscape, thus enabling the trial run of a VQA configuration with considerably reduced overhead.",ACM
"Guan, Ji and Fang, Wang and Huang, Mingyu and Ying, Mingsheng",Detecting Violations of Differential Privacy for Quantum Algorithms,2023,10.1145/3576915.3623108,https://doi.org/10.1145/3576915.3623108,Conference paper,CCS '23: Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,"Quantum algorithms for solving a wide range of practical problems have been proposed in the last ten years, such as data search and analysis, product recommendation, and credit scoring. The concern about privacy and other ethical issues in quantum computing naturally rises up. In this paper, we define a formal framework for detecting violations of differential privacy for quantum algorithms. A detection algorithm is developed to verify whether a (noisy) quantum algorithm is differentially private and automatically generates bugging information when the violation of differential privacy is reported. The information consists of a pair of quantum states that violate the privacy, to illustrate the cause of the violation. Our algorithm is equipped with Tensor Networks, a highly efficient data structure, and executed both on TensorFlow Quantum and TorchQuantum which are the quantum extensions of famous machine learning platforms - TensorFlow and PyTorch, respectively. The effectiveness and efficiency of our algorithm are confirmed by the experimental results of almost all types of quantum algorithms already implemented on realistic quantum computers, including quantum supremacy algorithms (beyond the capability of classical algorithms), quantum machine learning models, quantum approximate optimization algorithms, and variational quantum eigensolvers with up to 21 quantum bits.",ACM
"Higgott, Oscar",PyMatching: A Python Package for Decoding Quantum Codes with Minimum-Weight Perfect Matching,2022,10.1145/3505637,https://doi.org/10.1145/3505637,Journal,ACM Transactions on Quantum Computing,"This article introduces PyMatching, a fast open-source Python package for decoding quantum error-correcting codes with the minimum-weight perfect matching (MWPM) algorithm. PyMatching includes the standard MWPM decoder as well as a variant, which we call local matching, that restricts each syndrome defect to be matched to another defect within a local neighborhood. The decoding performance of local matching is almost identical to that of the standard MWPM decoder in practice, while reducing the computational complexity. We benchmark the performance of PyMatching, showing that local matching is several orders of magnitude faster than implementations of the full MWPM algorithm using NetworkX or Blossom V for problem sizes typically considered in error correction simulations. PyMatching and its dependencies are open-source, and it can be used to decode any quantum code for which syndrome defects come in pairs using a simple Python interface. PyMatching supports the use of weighted edges, hook errors, boundaries and measurement errors, enabling fast decoding, and simulation of fault-tolerant quantum computing.",ACM
